node	color	size
A10_PHAGE_COMPLETE_CIR-CU-CL_30_1	dodgerblue	244
A11_PHAGE_COMPLETE_CIR-CU-CL_29_1	dodgerblue	312
A4_PHAGE_COMPLETE_CIR-CU-CL_34_1	dodgerblue	402
A5_PHAGE_COMPLETE_CIR-CU-CL_32_1	dodgerblue	400
A9_PHAGE_COMPLETE_CIR-CU-CL_39_1	dodgerblue	264
ALT_PHAGE_24_16	dodgerblue	360
ALT_PHAGE_35_11	dodgerblue	325
ALT_PHAGE_CIR_40_22	dodgerblue	223
ALT_PHAGE_CIR_40_9	green4	394
AOT-PERU_PHAGE_COMPLETE_CIR-CU-CL_183_33	green4	289
AOT-PERU_PHAGE_COMPLETE_CIR-CU-CL-ST_331_34	green4	353
AOT-USA_PHAGE_CU_138_47	green4	231
BML_PHAGE_39_22	green4	245
BML_PHAGE_47_7	green4	439
BML_PHAGE_48_21	green4	358
BML_PHAGE_48_9	firebrick	366
BML_PHAGE_CIR_31_30	firebrick	433
BML_PHAGE_CIR_35_18	firebrick	365
